Repo_Rank,Repo_Name,Repo_Forks_Count,Contributor_Rank,Contributor_Login_ID,Contributor_Commit_Count
1,vscode,14384,1,bpasero,8025
1,vscode,14384,2,joaomoreno,6834
1,vscode,14384,3,jrieken,6465
1,vscode,14384,4,isidorn,4862
1,vscode,14384,5,mjbvz,4853
1,vscode,14384,6,alexdima,4709
1,vscode,14384,7,sandy081,4199
1,vscode,14384,8,Tyriar,3339
2,TypeScript,7966,1,ahejlsberg,3575
2,TypeScript,7966,2,sheetalkamat,2499
2,TypeScript,7966,3,mhegazy,2308
2,TypeScript,7966,4,DanielRosenwasser,2182
2,TypeScript,7966,5,andy-ms,2067
2,TypeScript,7966,6,sandersn,2012
2,TypeScript,7966,7,rbuckton,1599
2,TypeScript,7966,8,vladima,1533
3,Windows-universal-samples,7308,1,oldnewthing,169
3,Windows-universal-samples,7308,2,ChrisGuzak,1
3,Windows-universal-samples,7308,3,ontx,1
3,Windows-universal-samples,7308,4,turolla,1
3,Windows-universal-samples,7308,5,supratiksen,1
4,terminal,5669,1,miniksa,208
4,terminal,5669,2,DHowett-MSFT,182
4,terminal,5669,3,zadjii-msft,158
4,terminal,5669,4,carlos-zamora,57
4,terminal,5669,5,j4james,32
4,terminal,5669,6,cinnamon-msft,32
4,terminal,5669,7,skyline75489,17
4,terminal,5669,8,leonMSFT,17
5,sql-server-samples,4516,1,jodebrui,335
5,sql-server-samples,4516,2,JocaPC,305
5,sql-server-samples,4516,3,uc-msft,248
5,sql-server-samples,4516,4,perrysk-msft,136
5,sql-server-samples,4516,5,jovanpop-msft,126
5,sql-server-samples,4516,6,barbkess,115
5,sql-server-samples,4516,7,pmasl,108
5,sql-server-samples,4516,8,amitmsft,93
6,CNTK,4410,1,frankseide,2843
6,CNTK,4410,2,wilrich-msft,880
6,CNTK,4410,3,amitaga,738
6,CNTK,4410,4,mahilleb-msft,636
6,CNTK,4410,5,eldakms,581
6,CNTK,4410,6,jeanfad,523
6,CNTK,4410,7,zhouwangzw,453
6,CNTK,4410,8,chivee,418
7,BotBuilder-Samples,3392,1,johnataylor,277
7,BotBuilder-Samples,3392,2,sgellock,223
7,BotBuilder-Samples,3392,3,daveta,191
7,BotBuilder-Samples,3392,4,stevengum,169
7,BotBuilder-Samples,3392,5,JasonSowers,122
7,BotBuilder-Samples,3392,6,vishwacsena,121
7,BotBuilder-Samples,3392,7,benbrown,112
7,BotBuilder-Samples,3392,8,cleemullins,78
8,calculator,3330,1,rudyhuyn,95
8,calculator,3330,2,mcooley,68
8,calculator,3330,3,joseartrivera,60
8,calculator,3330,4,sanderl,48
8,calculator,3330,5,janisozaur,30
8,calculator,3330,6,gsfreema,26
8,calculator,3330,7,EriWong,19
8,calculator,3330,8,HowardWolosky,13
9,Windows-driver-samples,3260,1,barrygolden,79
9,Windows-driver-samples,3260,2,wm1,78
9,Windows-driver-samples,3260,3,NeoAdonis,33
9,Windows-driver-samples,3260,4,docs-product,24
9,Windows-driver-samples,3260,5,girishpattabiraman,19
9,Windows-driver-samples,3260,6,kfroe,13
9,Windows-driver-samples,3260,7,radutta99,12
9,Windows-driver-samples,3260,8,MichelleBergeron,11
10,LightGBM,2833,1,guolinke,771
10,LightGBM,2833,2,StrikerRUS,408
10,LightGBM,2833,3,wxchan,94
10,LightGBM,2833,4,Laurae2,78
10,LightGBM,2833,5,jameslamb,75
10,LightGBM,2833,6,chivee,59
10,LightGBM,2833,7,henry0312,45
10,LightGBM,2833,8,xuehui1991,16
11,AirSim,2579,1,sytelus,913
11,AirSim,2579,2,lovettchris,384
11,AirSim,2579,3,madratman,93
11,AirSim,2579,4,thias15,55
